question,answer
يفصل رئيس المحكمة في طلب قيد الدعوى الجماعية خلال مدة لا تتجاوز:,عشرة أيام
في حال استيفاء جميع شروط قبول طلب قيد الدعوى الجماعية المنصوص عليها في المادة 252 من اللائحة عدا الشرط الوارد في الفقرة (1/ج) من ذات المادة، فإن لرئيس المحكمة أن:,يمهل ممثل المدعين مدة لا تتجاوز 60 يوماً لاستيفاء الشرط المتبقي
للدائرة أن تأذن بتعدد وسائل الإعلان أو النشر، أو تكراره بناءً على:,طلب الحاجز أو المحجوز عليه
في حال أمرت الدائرة بتعدد وسائل الإعلان أو النشر، أو تكراره لمصلحة عائدة للمال المحجوز، فإن المصروفات تدفع من قبل:,وكيل البيع القضائي
ما هو الشرط الأول لاستحقاق الإرث؟,وفاة المورث حقيقةً أو بحكم قضائي
أي مما يلي ليس شرطاً لاستحقاق الإرث؟,وفاة الوارث قبل المورث
من يقوم بالإيداع القضائي في إطار إعادة التنظيم المالي لصغار المدينين؟,الأمين المتفق معه من قبل المدين الصغير أو الجهة المختصة
ماذا تحتفظ المحكمة في إطار إجراء إعادة التنظيم المالي لصغار المدينين؟,بسجل يتضمن تفاصيل المعلومات والوثائق المقدمة لافتتاح الإجراء
تخطر إدارة التسجيل العقاري والتوثيق ملاك الوحدات العقارية المرتفقة والمرتفق بها في الحالتين المنصوص عليهما في:,المادتين الستين والحادية والستين
في حالة الخلاف بين ذوي الشأن بشأن إخطار إدارة التسجيل العقاري والتوثيق لملاك الوحدات العقارية المرتفقة والمرتفق بها، يتم:,عرض الأمر على المحكمة المختصة
من يتولى تنظيم عدد الجلسات وأنواعها وإجراءات ضبطها ومواعيدها وحالات التأجيل؟,اللائحة
ما هو الشرط الأساسي لتأجيل الجلسة؟,وجود سبب يقتضي التأجيل ويثبت في محضر الجلسة
يجب أن يقدم طلب الرد إلى:,رئيس الدائرة
يجب أن يكون طلب الرد مرفقا ب:,الأوراق المؤيدة له
في حالة وقوع أعمال من شأنها أن تعرض العقار المرهون للهلاك أو العيب، يحق للمرتهن:,طلب من المحكمة وقف هذه الأعمال واتخاذ الوسائل التي تمنع وقوع الضرر وفقًا لأحكام القضاء المستعجل
وفقًا للنص، متى يمكن للمرتهن اللجوء إلى المحكمة لوقف الأعمال الضارة بالعقار المرهون؟,إذا كانت هذه الأعمال من شأنها أن تعرض العقار المرهون للهلاك أو العيب، أو تجعله غير كاف للضمان
من الجهة المختصة باتخاذ التدابير التحفظية والوقتية وفقا للمادة؟,المحكمة المختصة بنظر الموضوع فيما لو كانت الدعوى الأصلية مقامة في المملكة
ما هو شرط اختصاص المحكمة باتخاذ التدابير التحفظية والوقتية وفقا للمادة؟,أن تكون هي المحكمة المختصة بنظر الموضوع فيما لو كانت الدعوى الأصلية مقامة في المملكة
في حال تبين إخفاء المستأجر للمنقول أو ادعائه خلاف الحقيقة، فإن للمؤجر:,التقدم للمحكمة المختصة
ماذا يحدث إذا ادعى المستأجر خلاف الحقيقة بشأن المنقول المؤجر؟,يحق للمؤجر التقدم للمحكمة المختصة
تكون جلسات الدعوى التأديبية:,سرية
للقاضي المرفوعة عليه الدعوى التأديبية الحق في:,تقديم دفاعه كتابة
على المؤسسات المالية والأعمال والمهن غير المالية المحددة تطبيق تدابير العناية الواجبة المشددة مع المخاطر التي قد تنشأ من علاقات عمل ومعاملات مع:,شخص يأتي من دولة حددتها هي أو حددتها اللجنة الدائمة لمكافحة غسل الأموال بأنها دولة عالية المخاطر
على المؤسسات المالية والأعمال والمهن غير المالية المحددة تطبيق:,التدابير التي تحددها اللجنة الدائم
يهدف إجراء التصفية لصغار المدينين إلى:,بيع أصول التفليسة وتوزيع حصيلته على الدائنين خلال فترة معقولة
تتم عملية التصفية لصغار المدينين:,عبر إجراءات يسيرة بتكلفة منخفضة وكفاية عالية تحت إدارة الأمين
متى يلتزم المستأجر بأداء الأجرة إذا لم يتم الاتفاق على مواعيد محددة في عقد الإيجار؟,عند تسليم المأجور
في أي حالة لا تُستحق الأجرة عن مدة انقضت قبل تسليم المأجور؟,إذا لم يكن التأخر في التسليم بسبب المستأجر
حدد الجواب أو الأجوبة الصحيحة فيما يتعلق بتطبيق المدد والمواعيد الواردة في نظام المحاماة ولائحته التنفيذية:,تطبق الإجراءات الواردة في نظام المرافعات الشرعية ما لم يرد في نظام المحاماة ما يخالفها
من هو المحامي غير الممارس وفقاً لما ورد في سياق التعريفات؟,من سبق قيد اسمه في جدول المحامين الممارسين وصدر له ترخيص بمزاولة المه
من له الحق في طلب صك استحكام للعقار من المحكمة المختصة؟,كل من يدعي تملك عقار سواء أكان أرضًا أم بناءً
ما هو نوع العقار الذي يمكن طلب صك استحكام له من المحكمة المختصة؟,كل من الأرض والبناء
إذا لم يتخذ الإجراء المتعلق بالإثبات في الموعد المحدد، فإن المحكمة:,يمكنها من تلقاء نفسها أو بناءً على طلب أحد الخصوم تأجيل اتخاذ الإجراء لمرة واحدة فقط
يجب أن يكون الدفع المقدم من الخصم بشأن أي دليل أو إجراء من إجراءات الإثبات:,مسبباً وفي الجلسة ذاتها
يحصل مقابل مالي عن القيود التالية للقيد الأول واستخراج الصكوك البديلة والشهادات والخرائط بحد أدنى:,مائة ريال
يحدد المقابل المالي للقيود التالية للقيد الأول واستخراج الصكوك البديلة والشهادات والخرائط بحد أقصى:,خمسة آلاف ريال
للمحكمة أن تقدر ما يترتب على العيوب المادية في الورقة من:,إسقاط قيمتها في الإثبات
إذا كانت صحة الورقة محل شك في نظر المحكمة، يجوز لها أن:,تسأل الموظف الذي صدرت منه أو الشخص الذي حررها ليبدي ما يوضح حقيقة الأمر فيها
ما هي اللوائح التي تحل محلها هذه اللائحة؟,اللوائح التنفيذية لمواد الباب الحادي عشر من نظام المرافعات الشرعية الصادرة بقرار وزير العدل رقم 39933 وتاريخ 1435/5/19هـ، واللائحة التنفيذية لإجراءات الاستئناف الصادرة بقرار وزير العدل رقم 5134 وتاريخ 1440/9/21هـ
,
ما هي المدة الدنيا التي يجب أن تمنح لمالكي العقارات وشاغليها لإخلاء العقار بعد تبليغهم من قبل الجهة صاحبة المشروع؟,ثلاثين يومًا من تاريخ التبليغ بالإخلاء
متى يتم تسليم مبلغ التعويض لمالك العقار وفقًا للنظام؟,بعد تسليم العقار وتوثيقه بواسطة كاتب العدل أو المحكمة
تنشر قوائم الملاك في:,المنصة الالكترونية التابعة للسجل العقاري بعد اكتمال إجراءات التسجيل الأول
من البيانات التي تحتوي عليها قوائم الملاك:,رقم العقار وموقعه والبيانات التخطيطية له ومساحته والحقوق العينية وملاكها وآخر أربعة أرقام من هوية ملاك الحقوق العينية
إذا كان للشاهد عذر يمنعه من الحضور لأداء شهادته فإن المحكمة:,ينتقل القاضي لسماع شهادته
في حالة تكليف أحد قضاة المحكمة لسماع شهادة الشاهد الذي يتعذر حضوره، فإن ذلك يتم:,بقرار من المحكمة
للمدين الحق في الوفاء بدينه لأي من الدائنين المتضامنين في الحالات التالية:,إذا لم يعذره أحد الدائنين بعدم وفاء نصيبه لدائن معين ولم يترتب على ذلك ضرر بالمدين
لا يحق للمدين الوفاء بدينه لأي من الدائنين المتضامنين في الحالة التالية:,إذا أعذره أحد الدائنين بعدم وفاء نصيبه لدائن معين وترتب على ذلك ضرر بالمدين
يجوز نزع ملكية العقار للمنفعة العامة من قبل:,الوزارات والمصالح الحكومية وغيرها من الأجهزة ذوات الشخصية المعنوية العامة
من الشروط الواجب توفرها لنزع ملكية العقار للمنفعة العامة:,التحقق من عدم توفر الأراضي والعقارات الحكومية التي تفي بحاجة المشروع
وفقًا لنظام المرافعات التجارية، للمحكمة عند إخلال أحد الأطراف بأي من إجراءات الدعوى أو نظام الجلسة أن:,تأمر بفرض غرامة لا تتجاوز عشرة آلاف ريال
وفقًا لنظام المرافعات التجارية، اطلاع العموم على بيانات الدعاوى التجارية وأوراقها ومستنداتها يكون:,لقاء مقابل مالي يعادل تكلفة الخدمة
يجوز الاتفاق على أن يكون للدائن حق فسخ العقد عند إخلال المدين بالتزاماته:,دون حاجة إلى حكم قضائي
لا يُعفي اتفاق الفسخ دون حاجة لحكم قضائي من الإعذار:,إلا إذا اتفق المتعاقدان صراحةً على الإعفاء منه
يؤخذ إقرار على طالب التنفيذ عند تقديم طلب التنفيذ بأنه يعد مبلغاً بكل ما يرده على:,أي من العناوين أو وسائل الاتصال الواردة في طلب التنفيذ
يلتزم طالب التنفيذ بتحديث عناوينه ووسائل الاتصال الخاصة به:,إذا تغيرت بعد تقديم طلب التنفيذ
عند سماع شهادة النساء في التحقيق، فإنه:,تسمع شهادة كل اثنتين منهن سويًا
وفقًا للمعلومات المقدمة، عند الاستماع لشهادة النساء في التحقيق:,يتم سماع شهادة كل اثنتين معًا
يجب أن تكون المذكرات المقدمة أثناء الترافع:,بخط واضح ومؤرخة وموقعة من مقدمها
من الشروط الشكلية للمذكرات المقدمة أثناء الترافع:,جميع الأجوبة صحيحة
وفقاً للائحة، فإن تحديد المدد اللازمة لإجراءات نظر الدعوى يراعي:,طبيعة الدعاوى التجارية
يتم تقديم الدعاوى والطلبات والمذكرات والمستندات والتقارير وفق:,إجراءات ونماذج العمل التي تعدها الوزارة
من الجهة المختصة بإصدار اللائحة التنفيذية لهذا النظام؟,مجلس الوزراء
ما هي المدة المحددة لإعداد اللائحة التنفيذية لهذا النظام من تاريخ العمل به؟,في مدة لا تتجاوز تسعين يومًا
حدد الجواب أو الأجوبة الصحيحة:,لا يجوز للمحامي الإعلان في الصحف وغيرها بالتحذير ونحوه عن الشراء، أو المساهمة في المدعى به، إلا بإذن من الجهة ناظرة القضية
في حال سمحت الجهة ناظرة القضية للمحامي بالإعلان في الصحف وغيرها بالتحذير ونحوه عن الشراء، أو المساهمة في المدعى به، فإنه:,يجب النص على
في حال تعدد إجراءات الإفلاس الأجنبية للمدين، يتعين على المحكمة للموافقة على طلب تقديم المساعدة القضائية:,التنسيق والتعاون وفقاً للمادة (التاسعة عشرة) من القواعد
إذا قبلت المحكمة طلب الاعتراف بإجراء الإفلاس الأجنبي الرئيسي بعد قبولها طلب الاعتراف بإجراء الإفلاس الأجنبي غير الرئيسي، فيتعين:,تعديل أو إنهاء المساعدة القضائية لتتوافق مع إجراء الإفلاس الأجنبي الرئيسي المعترف به
إذا لم تتوافر الأغلبية اللازمة لإصدار الحكم بحسب ما نصت عليه المادة الثامنة من النظام، فيراعى ما نصت عليه:,المادة الثانية والستين بعد المائة من نظام المرافعات الشرعية
في حال جرى تكليف أحد القضاة بإكمال نصاب الدائرة التي تنظر القضية، فإنه:,يتلى عليه ما تم ضبطه، ثم يشترك مع باقي الأعضاء في المداولة
تستثنى بعض العقود والصفقات محل ترتيبات الضمانات والمقاصة المرتبطة بالمعاملات المالية من أحكام النظام بهدف:,الحفاظ على استقرار النظام المالي
وفقاً للفقرة، فإن استثناء بعض العقود والصفقات محل ترتيبات الضمانات والمقاصة المرتبطة بالمعاملات المالية من أحكام النظام يتم:,وفقاً لما تحدده اللائحة
يمكن للخبير الاستعانة برأي خبير آخر في مسألة فرعية تستلزم تخصصاً فنياً آخر:,بعد إخطار الإدارة المختصة
يجب أن يتضمن إخطار الإدارة المختصة عند استعانة الخبير برأي خبير آخر في مسألة فرعية:,المسألة الفنية الفرعية وصلتها بالمهمة واسم الخبير الذي سيتولاها
إذا ترك طالب الحجز دعواه، فإن الحجز التحفظي يعد:,ملغى
في أي من الحالات التالية لا يعد الحجز التحفظي ملغى؟,إذا استأنف طالب الحجز الحكم الصادر برد دعواه
تقتضي الكفالة النظامية والقضائية:,تضامن الكفلاء مع المدين وتضامنهم فيما بينهم
وفقا للنص، فإن الكفالة النظامية والقضائية:,تلزم الكفلاء بالوفاء بالتزامات المدين بالتضامن معه ومع بعضهم البعض
ما هو التاريخ الذي يعتبر تاريخا لوفاة المفقود؟,تاريخ صدور الحكم بوفاة المفقود
ماذا يحدث إذا ثبت لاحقا أن تاريخ وفاة المفقود الحقيقي يختلف عن تاريخ صدور الحكم بوفاته؟,يعتبر تاريخ الوفاة الحقيقي هو تاريخ وفاة المفقود
يعتمد محضر الصلح بعد توقيع المصلح والأطراف عليه:,مدير مكتب المصالحة الذي جرى فيه الصلح، أو الأمين العام أو من يفوضه للمحاضر الصادرة عن المصلحين المسجلين ومحاضر الصلح الإلكترونية
بعد اعتماد محضر الصلح يكون:,سندًا تنفيذيًا تطبق عليه أحكام السندات التنفيذية الواردة في نظام التنفيذ
متى يبدأ العمل بالنظام بعد نشره في الجريدة الرسمية؟,بعد مائة وثمانين يوماً من تاريخ نشره
كم يوماً يستغرق دخول النظام حيز التنفيذ بعد نشره في الجريدة الرسمية؟,180 يوماً
يكون إسقاط المدعي للبينة بموجب المادة (التاسعة والتسعين) من النظام:,شفاهاً في الجلسة أو بمذكرة
بعد إسقاط المدعي للبينة، على المحكمة أن:,تعلم المدعي بأثر ذلك قبل أداء المدعى عليه اليمين
وفقاً للمادة، يتم صرف النفقة بناءً على:,طلب يقدم من المستفيد وفقاً لنموذج يعده الصندوق لهذا الغرض
بعد تقديم طلب صرف النفقة للصندوق، ما الإجراء الذي يتخذه الصندوق وفقاً للمادة؟,يتولى الصندوق فحص الطلبات المقدمة إليه للتحقق من استيفاء جميع الشروط
من الشروط الواجب توافرها في المحامي المندوب:,أن يكون مقيداً في جدول المحامين الممارسين
أي من الشروط التالية لا يجب توافرها في المحامي المندوب؟,أن ترد عليه ملاحظات من المحكمة المختصة
يجب على كاتب العدل والمرخص له القيام بالتالي قبل كتابة إقرارات ذوي الشأن:,التحقق من أهلية وصفات وهويات ذوي الشأن
تحدد الإجراءات والمستندات اللازمة لكتابة الإقرارات من قبل:,اللائحة
للمحقق أن يستمع إلى أقوال:,الشهود الذين يرى لزوم سماعهم عن الوقائع التي تؤدي إلى إثبات الجريمة وظروفها وإسنادها إلى المتهم أو براءته منها
يجب على المحقق الاستماع إلى:,أقوال الشهود الذين يطلب الخصوم سماع أقوالهم، ما لم ير عدم الفائدة من سماعها
من شروط الولي في الزواج أن يكون:,ذكراً عاقلاً بالغاً سن الرشد
إذا فقد أحد شروط الولي في الزواج فمن يتولى تزويج المرأة؟,الوليُّ الذي يليه
متى تنتهي الولاية المالية على القاصر سناً؟,حتى إتمامه سن الثامنة عشرة ما لم تحكم المحكمة باستمرارها عليه
ماذا يمكن للولي أن يفعل إذا رأى مقتضى لاستمرار الولاية المالية على من تجاوز 18 سنة؟,التقدم إلى المحكمة بطلب استمرار الولاية المالية
ما هي اللغة الرسمية للمحاكم في المملكة العربية السعودية؟,اللغة العربية هي اللغة الرسمية للمحاكم
كيف تتعامل المحكمة مع الخصوم والشهود غير الناطقين باللغة العربية؟,تسمع المحكمة أقوالهم عن طريق مترجم
يجوز القبض على الأشخاص وتفتيشهم وتوقيفهم وسجنهم:,في الأحوال المنصوص عليها نظامًا
يتم التوقيف أو السجن:,في الأماكن المخصصة لكل منهما وللمدة التي تحددها السلطة المختصة
يمكن لمن تنطبق عليه شروط الدعوى الجماعية الانضمام إليها عن طريق:,ممثل المدعين
قرار المحكمة بشأن طلب الانضمام للدعوى الجماعية يتم:,تثبيته في محضر القضية
في حالة عدم اتفاق الأطراف على من يستأنس برأيه، يكون الاختيار حسب:,الترتيب في القائمة التي تعدها الوزارة بالتنسيق مع مجلس الغرف التجارية والصناعية أو الجهات المختصة ذات الصلة بأنشطة التجارة أو الاستثمار
تعد الوزارة قائمة بمن يستأنس برأيه بالتنسيق مع:,مجلس الغرف التجارية والصناعية أو الجهات المختصة ذات الصلة بأنشطة التجار
للمحكمة المختصة مناقشة الخبراء وسماع الشهود:,بمعزل عن المتهم ومحاميه عند الاقتضاء
من الذي يملك صلاحية السماح بتصوير أو تسجيل أو بث أو عرض أي وقائع من جلسات المحاكمة أثناء نظر الدعوى؟,رئيس المحكمة المختصة
تتم عملية بيع العقارات من قبل شركات التمويل العقاري المرخصة عن طريق:,أقساط تسدد على فترات
عند الانتهاء من سداد جميع الأقساط في عملية بيع عقار من قبل شركة تمويل عقاري، يتم:,نقل الملكية للمشتري
في حال كانت المضبوطات مما تمنع حيازته شرعاً أو نظاماً، أو كانت محلاً للمصادرة، فإنه يتوجب على المحقق:,إجراء ما يلزم حيال إتلافها أو المطالبة بمصادرتها، بحسب الأحوال
وفقاً للسياق المذكور، عندما تكون المضبوطات محلاً للمصادرة، فإن على المحقق:,المطالبة بمصادرتها
لا يسوغ لأي موثق من قاض أو كاتب عدل أن يجري توثيق أي إقرار من بيع أو هبة أو قسمة أو وصية أو نحو ذلك من أنواع التصرفات الشرعية على أية عقار إلا إذا كان ذلك العقار:,يستند على صك تملك شرعي مستوف أو ما تفرع عن هذا الصك لاغير
ورد التعميم المتعلق بعدم جواز توثيق أي إقرار من بيع أو هبة أو قسمة أو وصية أو نحو ذلك من أنواع التصرفات الشرعية على أية عقار إلا إذا كان ذلك العقار يستند على صك تملك شرعي مستوف في:,كتاب العدل
في حالة وفاة الفضولي، يجب على ورثته إذا توفرت فيهم الأهلية أو نائبهم وكانوا على علم بالفضالة:,أن يبادروا بإعلام المنتفع بموت مورثهم، وأن يتخذوا من التدابير ما تقتضيه الحال لمصلحته
في حالة وفاة المنتفع:,يبقى الفضولي ملتزماً للورثة بما كان ملتزماً به تجاه مورثهم
في حالة قبول المحكمة لطلب إعادة النظر، فإن ذلك:,لا يترتب عليه وقف تنفيذ الحكم إلا إذا كان صادرًا بعقوبة جسدية
للمحكمة أن تأمر بوقف تنفيذ الحكم في قرارها بقبول طلب إعادة النظر:,في غير حالات صدور الحكم بعقوبة جسدية
وفقاً للنظام، يتم تنفيذ خطوط المرافق العامة في الأملاك الخاصة:,إذا تعذر تنفيذها في الشوارع والطرق وأحرامها أو في الأراضي المملوكة للدولة
عند تنفيذ خطوط المرافق العامة في الأملاك الخاصة، يجب:,دفع تعويض عادل لمالك العقار وفقاً لهذا النظام
يكون الشرط مثبتاً لخيار فسخ عقد الزواج:,إذا نص على الشرط كتابةً في وثيقة عقد الزواج أو أقرّ به الزوجان
وفقاً للمادة أعلاه، فإن الزوجين:,عند شروطهما
يجوز للممثليات الأجنبية المعتمدة بالمملكة تملك:,المقر الرسمي ومقر السكن لرئيسها وأعضائها
من الشروط الواجب توفرها لتملك الممثليات الأجنبية والهيئات الدولية والإقليمية للعقارات في المملكة:,الحصول على ترخيص من وزير الخارجية
يجب على وزارتي الزراعة والمياه والشئون البلدية والقروية التنسيق مع وزارة العدل في عدم إصدار وثائق التملك إلا بعد التأكد من:,أن ما يراد إثبات ملكيته لا يتداخل مع حمى مجاري الأودية والسيول
صدر الأمر السامي الكريم رقم 4/1140/م في 19/4/1404هـ بخصوص التنسيق بين وزارتي الزراعة والمياه والشئون البلدية والقروية مع:,وزارة العدل
في حال رغبة المستثمر تغيير النشاط المخصص للعقار البلدي المستثمر، فإنه:,يتم إعادة تقدير قيمة الاستثمار من قبل لجنة الاستثمار
ما هي الجهة التي يجب أخذ موافقتها قبل السماح بتغيير نشاط العقار البلدي المستثمر؟,الوزير
تكون للأوراق الصادرة عن كتاب العدل قوة الإثبات ويجب العمل بمضمونها أمام المحاكم بلا بينة إضافية:,بموجب الاختصاص المنصوص عليه في المادة (الرابعة والسبعين) من هذا النظام
لا يجوز الطعن في الأوراق الصادرة عن كتاب العدل إلا تأسيسًا على:,مخالفتها لمقتضى الأصول الشرعية أو النظامية أو تزويرها
وفقاً لنظام التنفيذ، لا يجوز تنفيذ الأحكام والقرارات والأوامر جبراً مادام الاعتراض عليها جائزاً، إلا في حالة:,إذا كانت مشمولة بالنفاذ المعجل، أو كان النفاذ المعجل منصوصاً عليه في الأنظمة ذات العلاقة
بناءً على الدراسة المشار إليها في التعميم، فيما يتعلق بطلبات تنفيذ الأحكام المشمولة بالنفاذ المعجل:,لا حاجة لختم الصيغة التنفيذية، لتحقق معنى الصيغة التنفيذية في الحكم
في حالة تعدد المستحقين للنفقة وعدم استطاعة من وجبت عليه الإنفاق عليهم جميعاً، فإن الأولوية تكون ل:,نفقة الزوجة
بعد تقديم نفقة الزوجة والأولاد في حالة تعدد المستحقين للنفقة، تأتي أولوية:,نفقة الوالدين
عند إصدار الحكم على المتهمين الحاضرين وفقاً للمادة (الحادية والأربعين بعد المائة) من النظام، يتعين على المحكمة أن تنص على:,أسماء المحكوم عليهم الحاضرين والمتهمين الغائبين، وعلى أنها ستواصل نظر الدعوى في مواجهة الغائبين عند حضورهم
وفقاً للسياق المذكور، عند حضور المتهم الغائب بعد صدور الحكم، فإن استكمال نظر الدعوى يكون في:,ضبط الدعوى نفسها
إذا اعترض على الحكم لمخالفته الاختصاص، فإن على المحكمة التي تنظر الاعتراض:,أن تقتصر على بحث الاختصاص
عندما يتم الاعتراض على حكم لمخالفته قواعد الاختصاص، فإن المحكمة الناظرة في الاعتراض:,لا يجوز لها التطرق لموضوع الدعوى
ما حكم التصرف الناقل للملكية الصادر من المريض مرض الموت إذا كان تبرعا؟,يأخذ حكم الوصية
في حالة كون التصرف الناقل للملكية الصادر من المريض مرض الموت معاوضة فيها محاباة، فإن:,قدر المحاباة يأخذ حكم الوصية
يجب أن يحتوي الأمر الصادر عن القاضي على:,جميع ما ذكر
من البيانات التي يجب أن يتضمنها الأمر الصادر عن القاضي:,الدائرة التي أصدرت الأمر
يلتزم المودع بدفع نفقات رد الوديعة وتسليمها، وكذلك تعويض المودع لديه عن:,أي ضرر لحقه بسبب الوديعة ما لم يكن ناشئا عن تعديه أو تقصيره
ما لم يتفق على خلافه، فإن المودع:,يلتزم بدفع نفقات رد الوديعة وتسليمها وتعويض المودع لديه عن أي ضرر لحقه بسبب الوديعة ما لم يكن ناشئا عن تعديه أو تقصيره
يجوز أن يكون مقر القيد الأول:,في مقر خاص في المحكمة المختصة أو خارجها عند الحاجة
فيما يتعلق بالقضاة المشرفين على القيد الأول:,يجوز تعدد مقارهم ويجوز تعددهم في المقر الواحد عند الحاجة
إذا كانت الواقعة التي تنصب عليها اليمين متعلقة بالحالف أو بإثبات فعل غيره، فإن الحالف يحلف على:,البت
في حالة كون الواقعة التي تنصب عليها اليمين متعلقة بنفي فعل الغير، فإن الحالف يحلف على:,نفي العلم
في حال اتفاق الخصوم على الخبير قبل الدعوى، فإنه:,يجب التمسك بالاتفاق قبل تعيين الخبير
عند اتفاق الخصوم على الخبير، فإن الإدارة المختصة:,تثبت ذلك وتكلف الخبير المتفق عليه إذا كان مرخصاً وفقاً للقواعد الخاصة بتنظيم شؤون الخبرة أمام المحاكم
في حال وجود نزاع قائم في المحكمة، يكتفى بـ:,بعث كتاب مع صورة من الصك إلى الجهة الصادر منها الصك للإفادة عن سجله وما ألحق به
للقاضي حسب سلطته التقديرية:,طلب الصك الأساسي إن رأى ضرورة لذلك
وفقاً للمادة، متى يجب أن يكون تصويت الملاك على المقترح الذي يؤثر في حقوقهم؟,يجب أن يكون تصويت الملاك سابقاً لتصويت الدائنين
من المسؤول عن دعوة الملاك للتصويت على المقترح الذي يؤثر في حقوقهم؟,المدين هو المسؤول عن دعوة الملاك للتصويت
لا تتقيد المحكمة بالحكم الجزائي المرتبط بالدعوى المعروضة عليها إلا في:,الوقائع التي فصل فيها ذلك الحكم وكان فصله فيها ضروريا
لا تتقيد المحكمة بالحكم الصادر بعدم الإدانة إلا إذا:,قام الحكم على نفي نسبة الواقعة إلى المتهم
ترث الأم (السدس) في أي من الحالتين الآتيتين:,إذا كان للميت فرع وارث أو إذا كان للميت أخوان فأكثر ذكوراً أو إناثاً من أي جهة كانوا وارثين أو محجوبين
ترث الأم (ثلث) التركة في أي من الحالات التالية:,عند عدم وجود فرع وارث للميت أو أخوان فأكثر له
للدائرة بناء على طلب أحد الخصوم الفصل -بحكم واحد- في الدعاوى الواردة في الفقرة (6/33) من هذه اللائحة:,عند نظرها لإحداها
يمكن للدائرة الفصل بحكم واحد في الدعاوى الواردة في الفقرة (6/33) من هذه اللائحة:,بناء على طلب أحد الخصوم
ما هو الأثر المترتب على عقد الزواج الفاسد قبل الدخول؟,لا يترتب عليه أي أثر إلا الطلاق إذا أوقعه الزوج فيقع بائناً بينونةً صغرى
أي مما يلي يترتب على الزواج الفاسد بعد الدخول؟,استحقاق المرأة المهر المسمى، ثبوت نسب الولد، وجوب العدة، حرمة المصاهرة، استحقاق المرأة النفقة ما لم تكن عالمة فساد العقد، الطلاق إذا أوقعه الزوج فيقع بائناً بينونةً صغرى
"لا يجوز للقاضي ولا لمعاونيه من المهندسين والمساحين والموظفين مباشرة أي عمل يتصل بالسجل العقاري يخصهم شخصيا, أو من تربطهم به صلة:",قرابة أو مصاهرة إلى الدرجة الرابعة
بناء على المعلومات المقدمة، من لا يجوز له مباشرة أي عمل يتصل بالسجل العقاري إذا كان يخصه شخصيا أو تربطه صلة قرابة أو مصاهرة إلى الدرجة الرابعة بأصحاب الشأن؟,القاضي ومعاونيه من المهندسين والمساحين والموظفين
ما هي الطريقة التي يجب على الموكل اتباعها لإبلاغ محاميه بعزله؟,بخطاب مسجل مصحوب بعلم الوصول
هل يحق للموكل الإعلان عن عزل محاميه في وسائل الإعلام مباشرة؟,لا، لا يحق له ذلك إلا بعد موافقة الإدارة
تختص المحاكم العامة بجميع الإثباتات الإنهائية ما عدا:,ما ورد في المادة الثالثة والثلاثين من هذا النظام والإثباتات المتعلقة بمسائل الأحوال الشخصية
من الأمثلة على الإثباتات المتعلقة بمسائل الأحوال الشخصية التي لا تختص بها المحاكم العامة:,جميع ما ذكر
ما هو الترتيب الصحيح للحقوق المتعلقة بالتركة حسب النص؟,تجهيز الميت بالمعروف، ثم قضاء الديون، ثم تنفيذ الوصية، ثم قسمة ما يبقى على الورثة
أي من الديون يقدم على غيره عند قضاء ديون التركة؟,الديون المتعلقة بعين من التركة
يجوز إعادة فرز العقار المشترك أو جزء منه أو تغيير استعمالاته بعد:,موافقة الجمعية العامة وموافقة المرتهن إن وجد
في حال طرأ أي تغيير على العقار المشترك، فإن الملاك يعدون شركاء فيما ينتج عن هذا التغيير كل بنسبة:,مساحة وحدته العقارية المفرزة إلى إجمالي مساحة الوحدات العقارية المفرزة المحددة في الوثيقة الصادرة عن الهيئة باعتماد الفرز
في الدعاوى اليسيرة، إذا صححت المحكمة الخطأ أو رفضت تصحيحه فإن قرارها:,لا يخضع لطرق الاعتراض
وفقاً للفقرة، في أي نوع من الدعاوى لا يخضع قرار المحكمة لطرق الاعتراض إذا صححت الخطأ أو رفضت تصحيحه؟,الدعاوى اليسيرة المشار إليها في الفقرة (1) من المادة الخامسة والثمانين بعد المائة
تحكم الدائرة في القضايا التي تنظرها تدقيقاً خلال:,عشرين يوماً من تاريخ إحالة القضية
تحكم الدائرة في الأحكام الصادرة في الدعاوى المستعجلة خلال:,عشرة أيام
يجب أن تتضمن مذكرة الاعتراض:,بيانات المعترض وبيانات الخصوم وفق المادة 41 من النظام
فيما يتعلق بتوقيع مذكرة الاعتراض:,يجب على المعترض التوقيع على كل ورقة من أوراق مذكرة الاعتراض
متى يتم شطب اسم المستشار المرخص له من جدول المستشارين غير السعوديين وإلغاء ترخيصه بقرار من لجنة القيد والقبول؟,جميع ما ذكر
أي من الحالات التالية لا تعد سببا لشطب اسم المستشار المرخص له من جدول المستشارين غير السعوديين وإلغاء ترخيصه؟,إذا سافر خارج المملكة لمدة تزيد عن 6 أشهر
ماذا يحدث للضمانات المقدمة من الغير عند حوالة الدين؟,لا تبقى الضمانات المقدمة من الغير
ما هو وضع المدينين المتضامنين بعد حوالة الدين؟,يبقى المدينون المتضامنون ملتزمين بعد خصم حصة المحيل من الدين
,
تصرفات المعتوه في حكم تصرفات:,الصغير المميز
تصرفات المجنون في حكم تصرفات:,الصغير غير المميز
